name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Lithium Battery Packaging,Number of Lithium Ion Cells, ,Peso del envío,Pilas:,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Asus Chromebook C423NA-DH02 computadora portátil Plata 35.6 cm (14"") 1.10 GHz Intel® Celeron® N3350 - Ordenador portátil (Intel® Celeron®, 1.10 GHz, 35.6 cm (14""), 4 GB, 32 GB, Chrome OS)
                    
                

                
                    
                    
                
            ","$7,961.52",,625 calificaciones,Asus,3.9 de 5 estrellas,Asus,C423NA-DH02,Plata,15 millimeters,22.9 centimeter,14 inches,,Intel,,1.1 GHz,4 GB,LPDDR4-SDRAM,DDR4 SDRAM,8 GB,32 GB,,Serial ATA,Intel HD Graphics 500,No disponible,Shared,,Integrado,802.11ac,,,No,Chrome OS,38 watt_hours,Baterías integradas en el equipo,2, ,2.1 Kg,"2 C necesaria(s), incluida(s)",C423NA-DH02,16 de octubre de 2018
"
                
                    
                    
                

                
                    
                    
                        Goldengulf 2020 - Ordenador portátil de 10,1 pulgadas Android 6.0 Quad Core Mini Notebook Netbook 8 GB WiFi Webcam USB Netflix YouTube Google Player Flash, Blanco, 25.6 cm
                    
                

                
                    
                    
                
            ","$3,783.70",,9 calificaciones,Goldengulf,2.8 de 5 estrellas,Goldengulf,CLP-290,Blanco,25 millimeters,19 centimeter,10.1 inches,1024×600,Allwinner,,,1 GB,DDR3,DDR3 SDRAM,,8 GB,,Ethernet 100Base-T,1,,,,,802.11bgn,2,,,Android,3.70 watt_hours,Baterías integradas en el equipo,1, ,1.1 Kg,"1 Litio Ion necesaria(s), incluida(s)",CLP-290,9 de abril de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad 330s-14IKB Laptop 14"" HD, Intel Core i3, 4GB RAM + Optane 16GB, 1TB HDD, Windows 10
                    
                

                
                    
                    
                
            ","$8,999.00"," $11,999.01",11 calificaciones,Lenovo,3.9 de 5 estrellas,Lenovo,IdaPad 330s-14IKB,Silver,20 millimeters,26 centimeter,14 inches,,Intel,None,2.4 GHz,4 GB,DDR4,,8 GB,1024 GB,,,,,,,,802.11bgn,,1,,Windows 10,2 watt_hours,Baterías integradas en el equipo,2, ,2.1 Kg,,IdaPad 330s-14IKB,18 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        MSI GL75 9SE-224MX Notebook_Computer, 15.6inches, Intel Core_i7 2.6GHz, 6GB, GB, Windows 10,
                    
                

                
                    
                    
                
            ","$31,280.07"," $33,398.43",,MSI,,MSI,GL-75,Negro,27.1 centimeter,28 millimeters,15.6 inches,,Intel,Intel Core i7,2.6 GHz,6 GB,DDR,DDR SDRAM,64 GB,,,,,,,,,802.11ac,,3,,Windows 10,51 watt_hours,Baterías dentro del paquete del equipo,1, ,5.5 Kg,"1 Litio Ion necesaria(s), incluida(s)",GL75 9SE-224MX,1 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook S15,  15"", Core i7, 12GB RAM, 512GB SSD, Azul, S531FA-EJ130T
                    
                

                
                    
                    
                
            ","$23,399.00",,,Asus,,Asus,S531FA-EJ130T,,,,15.6 inches,,Intel,Core i7 8550U,1.8 GHz,12 GB,DDR4,,12 GB,12 GB,Unidad híbrida,PCIE x 2,,Integrada,DDR4 SDRAM,,Integrado,,2,,Ninguno,Windows 10,1 kilowatt_hours,Baterías integradas en el equipo,1, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",S531FA-EJ130T,10 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        ASUS Laptop BR1091T. Intel Core i5. 8GB RAM. 1TB HDD. Windows 10. 15.6"" Gris
                    
                

                
                    
                    
                
            ","$14,699.00",,49 calificaciones,Asus,4.5 de 5 estrellas,Asus,Asus Laptop,Gris,26.6 centimeter,22 millimeters,15.6 inches,,Intel,Core i5 8250U,1.6 GHz,8 GB,,,16 GB,,SATA 1TB 5400RPM 2.5' HDD,,Intel UHD Graphics 620,,,,,802.11bgn,,1,,Windows 10,42 watt_hours,Baterías integradas en el equipo,1, ,3.3 Kg,"1 Litio Ion necesaria(s), incluida(s)",X507UA-BR1091T,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop V310-14 Intel Core I3-7100u 2.4Ghz. 4GB 500GB Nueva con Garantia de fabrica
                    
                

                
                    
                    
                
            ","$9,999.00",,,Lenovo,,Lenovo,,negro,,,,,Intel,Core i3 7100U,2.40 GHz,4 GB,,GDDR4,,500 GB,,ATA-3,,,,,,,,,,Windows 10,,,, ,,,,19 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL G3 15.6"", GEFORCE GTX 1650,  CORE i5 9 Gen. RAM 8GB, 512 SSD BLANCO (G3590W_i585121650W10s_520)
                    
                

                
                    
                    
                
            ","$21,999.00"," $23,499.00",14 calificaciones,Dell,4.8 de 5 estrellas,Dell,Gaming G3 15,,9 millimeters,36.6 centimeter,15.6 inches,,Intel,Intel Core i5,4.1 GHz,8 GB,,,32 GB,,,,,,,,,802.11ac,,,,Windows 10,51 watt_hours,Baterías integradas en el equipo,3, ,3.5 Kg,"1 Litio Ion necesaria(s), incluida(s)",G3590W_i585121650W10s_520,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        2020 HP 15.6"" Touchscreen Laptop Computer, Quad-Core AMD Ryzen 7 3700U up to 4.0GHz, 12GB DDR4 RAM, 256GB PCIe SSD, 802.11ac WiFi, Bluetooth 4.2, USB 3.1 Type-C, HDMI, Silver, Windows 10 Home
                    
                

                
                    
                    
                
            ","$21,099.00",,16 calificaciones,HP,4.4 de 5 estrellas,HP,15-ef,,20 millimeters,24.2 centimeter,15.6 inches,1366x768,AMD,AMD R Series,2.30 GHz,12 GB,"SDRAM, DDR4",DDR4 SDRAM,12 GB,256 GB,,PCIE x 4,AMD Radeon RX Vega 10 Graphics,amd_radeon_rx,DDR3 SDRAM,2 MB,Integrado,"802.11b/g, 802.11ac, 802.11bgn, 802.11b",,,No Optical Drive,Windows 10,41 watt_hours,Baterías integradas en el equipo,3, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",15-ef,12 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo V110 Portátil, 14"", Intel Celeron 1.10GHz, 4GB, Windows 10
                    
                

                
                    
                    
                
            ","$5,899.00"," $6,610.02",15 calificaciones,Lenovo,2.3 de 5 estrellas,Lenovo,V110,Black,24 millimeters,34.4 centimeter,14 inches,,Intel,Intel Celeron,1.1 GHz,4 GB,,,4 GB,,,,,,,,,802.11ac,,1,,Windows 10,45 watt_hours,Baterías integradas en el equipo,, ,2.4 Kg,"1 Litio Ion necesaria(s), incluida(s)",V110,27 de julio de 2017
"
                
                    
                    
                

                
                    
                    
                        Vorago COMVGO010 Laptop Alpha-N3060-10-1, 4 GB, 14 Pulgadas, Windows 10 Home, 500 GB
                    
                

                
                    
                    
                
            ","$4,745.00"," $5,582.00",1 calificación,Vorago,5.0 de 5 estrellas,Vorago,COMVGO010,,,,14 inches,,Intel,Alpha,2.4,500 GB,DRAM,DDR3 SDRAM,4 GB,500 GB,Flash Memory Solid State,ATA-3,Intel HD Graphics 400,Integrated,DDR DRAM,,Integrado,,1,1,None,Windows 10 Home,,,, ,2.4 Kg,,,5 de julio de 2019
"
                
                    
                    
                

                
                    
                    
                        HP 14 Series 14"" HD SVA BrightView WLED-Backlit Laptop, Intel 10th Gen Core i3-1005G1 up to 3.4GHz, 4GB DDR4, 128GB SSD, USB 3.1-C, Webcam, 802.11ac, Bluetooth, HDMI, Windows 10 Home in S Mode
                    
                

                
                    
                    
                
            ","$13,590.00",,2 calificaciones,HP,5.0 de 5 estrellas,HP,Notebook,,18 millimeters,32.4 centimeter,14 inches,,Intel,Intel Core i3,3.40 GHz,4 GB,DDR4,DDR4 SDRAM,,128 GB,,USB,Intel® UHD Graphics,,,,,802.11ac,,,,Windows 10,41.90 watt_hours,Baterías integradas en el equipo,3, ,2 Kg,"1 Litio Ion necesaria(s), incluida(s)",HP 14,18 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell COMDEL1560 Laptop Vostro Intel Core i5 10210U, 8 GB, 14 Pulgadas, Windows 10 Pro, 1 TB
                    
                

                
                    
                    
                
            ","$13,499.00"," $17,000.00",,Dell,,Dell,COMDEL1560,,,,14 inches,1360x768,Intel,Core i5 Family,3.9,1 TB,DRAM,DDR4 SDRAM,8 GB,,Flash Memory Solid State,,,Integrated,DDR DRAM,,Integrado,,1,1,None,Windows 10 Pro,,,, ,2.5 Kg,,DELL VOSTRO 3490,14 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook, 14"", Core i5 10a Gen, 8GB RAM, 512GB SSD + 32GB Optane, Plata, X412FA-BV787T
                    
                

                
                    
                    
                
            ","$15,999.00",,,Asus,,Asus,X412FA-BV787T,,,,14 inches,,Intel,Core i5-10210U,1.6 GHz,8 GB,DDR4,,12 GB,8 GB,Unidad híbrida,PCIE x 2,,Integrada,DDR4 SDRAM,8 GB,Integrado,,2,1,Ninguno,Windows 10,1 kilowatt_hours,Baterías integradas en el equipo,1, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",X412FA-BV787T,10 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        2019 Dell Inspiron 14"" Laptop Computer| 10th Gen Intel Quad-Core i5 1035G4 Up to 3.7GHz| 4GB DDR4 RAM| 128GB PCIe SSD| Intel Iris Plus Graphics| 802.11ac WiFi| Bluetooth 4.1| USB 3.1| HDMI| Windows 10
                    
                

                
                    
                    
                
            ","$13,590.00",,73 calificaciones,Dell,3.9 de 5 estrellas,Dell,Dell Inspiron,Negro,20 millimeters,24.2 centimeter,14 inches,1366 x 768,Intel,Intel Core i5,1.10 GHz,8 GB,DDR4,DDR4 SDRAM,64 GB,128 GB,,Serial ATA,Intel UHD Graphics,intel_iris,DDR3 SDRAM,2 MB,Integrado,802.11ac,1,,No Optical Drive,Windows 10,36 watt_hours,Baterías integradas en el equipo,30, ,2.5 Kg,1 Polímero de litio (Tipo de pila necesaria),14 3000,10 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop 14"" Ideapad 330-14IGM Intel Celeron N4000 1.1 GHz (Turbo Boost hasta 2.6 GHz) 500gb 4gb Ram Windows 10 Home (64 bits)
                    
                

                
                    
                    
                
            ","$6,399.00"," $7,000.00",7 calificaciones,Lenovo,2.9 de 5 estrellas,Lenovo,81D0001GLM,,23 millimeters,25 centimeter,14 inches,1366 X 768,Intel,Celeron 450,1.10 GHz,4 GB,DDR4,DDR SDRAM,,500 GB,,ATA,Intel HD Graphics 500,,DDR SDRAM,,,,2,,,Windows 10 Home,,,, ,2.3 Kg,,81D0001GLM,29 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        HP Laptop, Pantalla de 15"" HD, Procesador Intel Pentium Gold, 8GB RAM, 1TB HDD, Sistema operativo Windows 10, Color Berry Mauve (15-da0072la)
                    
                

                
                    
                    
                
            ","$9,499.00",,58 calificaciones,HP,4.7 de 5 estrellas,HP,HP Laptop,,23 millimeters,37.5 centimeter,15.6 inches,,Intel,None,2.3 GHz,8 GB,,,8 GB,,,,Intel HD Graphics 610,intel_hd,,,,802.11bgn,,3,,Windows 10,,,, ,2.5 Kg,,15-da0072la,22 de mayo de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Laptop 240 G7 14"" Intel Celeron N4000 4GB 500GB Windows 10 Home
                    
                

                
                    
                    
                
            ","$7,599.00"," $9,417.57",23 calificaciones,HP,4.1 de 5 estrellas,HP,"HP 240 G7,Intel® Celeron® N4000 ,Windows® 10 Home 64bit Single Language, 500 HDD, 4 GB (1x4GB) DDR4 2400, LCD 14, con 2 TB de almacenamiento en la nube por 1 año",,,,14 inches,,Intel,Celeron N,2.6 GHz,4 GB,DDR4,DDR3 SDRAM,4 GB,500 GB,Mechanical Hard Drive,Serial ATA,,Integrated,DDR DRAM,,Integrado,,2,1,DVD-R,Windows 10 Home,5 watt_hours,Baterías integradas en el equipo,2, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",6EH30ELIFE2TB,3 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus X512DA-BR657T Notebook_Computer, Bluetooth+ Wi-Fi, 15.6inches, AMD C_Series_Dual_Core_C_50 2.5GHz, 4GB,, GB, Windows 10, Coral
                    
                

                
                    
                    
                
            ","$10,999.00"," $12,499.00",,Asus,,Asus,ASUS VivoBook 15,Coral,23 centimeter,20 millimeters,15.6 inches,,AMD,C-Series Dual Core C-50,2.5 GHz,4 GB,,,12 GB,,SATA 1TB 5400RPM 2.5' HDD/ SATA3 128G M.2 SSD,,AMD Radeon Vega 3,,,,,802.11ac,,2,,Windows 10,42 watt_hours,Baterías integradas en el equipo,1, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",X512DA-BR657T,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL G3 15.6"", GEFORCE GTX 1050,  CORE i5 9 Gen. RAM 8GB, 256 SSD BLANCO (G3590W_i582561050W10s_520)
                    
                

                
                    
                    
                
            ","$19,299.00"," $21,499.01",74 calificaciones,Dell,4.4 de 5 estrellas,Dell,Gaming G3 15,,9 millimeters,36.6 centimeter,15.6 inches,,Intel,Intel Core i5,4.1 GHz,8 GB,,,32 GB,,,,NVIDIA GeForce GTX 1050,nvidia_geforce_gtx_1050,,,,802.11ac,,,,Windows 10,51 watt_hours,Baterías integradas en el equipo,3, ,3.5 Kg,"1 Litio Ion necesaria(s), incluida(s)",G3590W_i582561050W10s_520,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Epik ELL1002T-BK Laptop 10.1'', Intel Atom Quad Core 1.83GHz, 2GB RAM, 32GB HDD, Windows 10, Color Negro
                    
                

                
                    
                    
                
            ","$3,359.00",,,Epik,,Epik,ELL1002T-BK,Negro,21 centimeter,6.5 centimeter,10.1 inches,,Intel,Atom Z3735F,1.83 GHz,2 GB,,,4 GB,,,,,,,,,Bluetooth,,,,Windows 10,82 watt_hours,Baterías integradas en el equipo,1, ,1.4 Kg,,ELL1002T-BK,27 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        HP Pavilion Laptop, Pantalla de 15"" FHD, Procesador AMD Ryzen 7 3700U(2a), 16GB RAM, 1TB+128GB SSD, Sistema operativo Windows 10, Color Mineral Silver  (15-cw1005la)
                    
                

                
                    
                    
                
            ","$17,599.00"," $21,998.99",36 calificaciones,HP,4.5 de 5 estrellas,HP,HP Pavilion Laptop 15,,18 millimeters,36.2 centimeter,15.6 inches,,AMD,None,2.3 GHz,16 GB,,,16 GB,,,,,,,,,802.11bgn,,3,,Windows 10,,,, ,2.4 Kg,,15-cw1005la,22 de mayo de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo 81FB0008LM Laptop 15.6"" Bluetooth+ Wi-Fi, AMD none 2.4GHz, 8GB, 2048GB, Windows 10, Midnight Blue
                    
                

                
                    
                    
                
            ",," $13,499.00",40 calificaciones,Lenovo,3.9 de 5 estrellas,Lenovo,IdeaPad 330s-15AST,Midnight Blue,19 millimeters,26 centimeter,15.6 inches,,AMD,None,2.4 GHz,4 GB,DDR4,DDR4 SDRAM,16 GB,2048 GB,,,,,,,,802.11bgn,,2,None,Windows 10,2 watt_hours,Baterías integradas en el equipo,2, ,2.4 Kg,,IdeaPad 330s-15AST,18 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        HUAWEI Matebook 13 New- Computadora portátil ultradelgada 13"" (Intel Core i5-8265U, 8GB RAM + 512GB SSD, Nvidia GeForce MX250, Windows 10), Color Mystic Silver
                    
                

                
                    
                    
                
            ","$20,999.00",,56 calificaciones,Huawei,4.3 de 5 estrellas,HUAWEI,Matebook 13,,15 millimeters,28.6 centimeter,13 inches,,Intel,Intel Core i5,3.9 GHz,8 GB,DDR4,SDRAM,8 GB,,Memoria flash de estado sólido,,NVIDIA GeForce MX250,Integrada,DDR4 SDRAM,,Integrado,,,2,Ninguno,Windows 10,41.80 watt_hours,Baterías integradas en el equipo,1, ,2.2 Kg,"1 Polímero de litio necesaria(s), incluida(s)",Wright W19GL,14 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop 330-15IGM 15.6 "" Intel Pentium 4GB 500GB
                    
                

                
                    
                    
                
            ","$7,499.00",,23 calificaciones,Lenovo,3.6 de 5 estrellas,Lenovo,330-15IGM,Plateado,23 millimeters,35.8 centimeter,15.6 inches,,Intel,None,1.1 GHz,4,DDR4 SDRAM,,8 GB,500,,eSATA,Intel UHD Graphics 600,Integrada,DDR4 SDRAM,,Integrado,802.11ac,1,1,DVD+RW,Windows 10,5.5 watt_hours,Baterías integradas en el equipo,2, ,2.7 Kg,"1 Litio-metal necesaria(s), incluida(s)",81D100EDUS,7 de enero de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Pavilion Laptop HD, Pantalla 15"", Procesador AMD Ryzen 5 3500U(2a), 12GB RAM, 1TB+128GB SSD, Azul (15-cw1004la)
                    
                

                
                    
                    
                
            ","$13,639.15"," $15,999.00",162 calificaciones,HP,4.6 de 5 estrellas,HP,HP Pavilion Laptop,Azul (Fog Blue),18 millimeters,36.2 centimeter,15.6 inches,,AMD,None,2.1 GHz,12 GB,,,12 GB,,,,AMD Radeon Vega 8,,,,,802.11bgn,,3,,Windows 10 Home 64,,,, ,2.4 Kg,,15-cw1004la,22 de mayo de 2019
